Unnamed: 0,Title,Author,Year,Subjects,Filename,Total Number Words,Two Most Common Words,Ratio of Unique and Total Words
41,Poems and Songs of Robert Burns,Burns Robert ,1759-1796,"['Songs, Scots -- Scotland -- Texts', 'Scotland -- Poetry']",./books/poems-and-songs-of-robert-burns-burns-robert.txt,139481,"['the', 'a']",0.09981287773962046
42,Little Women,Alcott Louisa May ,1832-1888,"['Autobiographical fiction', 'Young women -- Fiction', 'Sisters -- Fiction', 'Domestic fiction', 'Family life -- New England -- Fiction', 'New England -- Fiction', 'Bildungsromans', 'Mothers and daughters -- Fiction', 'March family (Fictitious characters) -- Fiction']",./books/little-women-alcott-louisa-may.txt,194407,"['and', 'the']",0.05699897637430751
43,Emma,Austen Jane ,1775-1817,"['Humorous stories', 'England -- Fiction', 'Young women -- Fiction', 'Love stories', 'Fathers and daughters -- Fiction', 'Bildungsromans', 'Mate selection -- Fiction', 'Female friendship -- Fiction']",./books/emma-austen-jane.txt,165167,"['the', 'to']",0.04567498350154692
44,The War of the Worlds,Wells H G Herbert George ,1866-1946,"['Science fiction', 'War stories', 'Martians -- Fiction', 'Mars (Planet) -- Fiction', 'Space warfare -- Fiction', 'Imaginary wars and battles -- Fiction', 'Life on other planets -- Fiction']",./books/the-war-of-the-worlds-wells-h-g-herbert-george.txt,64306,"['the', 'and']",0.11093832612819955
45,Pygmalion,Shaw Bernard ,1856-1950,"['Comedies', 'Speech and social status -- Drama', 'London (England) -- Drama', 'Linguistics teachers -- Drama', 'Social classes -- Drama', 'Flower vending -- Drama']",./books/pygmalion-shaw-bernard.txt,38181,"['the', 'to']",0.12375265184253949
46,"Songs of Innocence, and Songs of Experience",Blake William ,1757-1827,"['Pastoral poetry', 'English poetry -- 18th century']",./books/songs-of-innocence-and-songs-of-experience-blake-william.txt,8886,"['the', 'and']",0.21089354040063021
47,Wuthering Heights,Brontë Emily ,1818-1848,"['Revenge -- Fiction', 'Psychological fiction', 'Rejection (Psychology) -- Fiction', 'Love stories', 'Domestic fiction', 'Yorkshire (England) -- Fiction', 'Foundlings -- Fiction', 'Rural families -- Fiction', 'Heathcliff (Fictitious character : Brontë) -- Fiction', 'Triangles (Interpersonal relations) -- Fiction']",./books/wuthering-heights-brontë-emily.txt,122657,"['and', 'the']",0.07854423310532624
48,Anne of Green Gables,Montgomery L M Lucy Maud ,1874-1942,"['Orphans -- Fiction', 'Islands -- Fiction', 'Friendship -- Fiction', 'Bildungsromans', 'Girls -- Fiction', 'Country life -- Prince Edward Island -- Fiction', 'Prince Edward Island -- History -- 20th century -- Fiction', 'Canada -- History -- 1867-1914 -- Fiction', 'Shirley, Anne (Fictitious character) -- Fiction']",./books/anne-of-green-gables-montgomery-l-m-lucy-maud.txt,110461,"['the', 'and']",0.07138265994332842
49,War and Peace,Tolstoy Leo graf Maude Aylmer Maude Louise ,1828-1858,"['Historical fiction', 'War stories', 'Napoleonic Wars, 1800-1815 -- Campaigns -- Russia -- Fiction', 'Russia -- History -- Alexander I, 1801-1825 -- Fiction', 'Aristocracy (Social class) -- Russia -- Fiction']",./books/war-and-peace-tolstoy-leo-graf-maude-aylmer-maude-louise.txt,576638,"['the', 'and']",0.030757598354600287
50,Crime and Punishment,Dostoyevsky Fyodor Garnett Constance ,1821-1861,"['Detective and mystery stories', 'Psychological fiction', 'Saint Petersburg (Russia) -- Fiction', 'Murder -- Fiction', 'Crime -- Psychological aspects -- Fiction']",./books/crime-and-punishment-dostoyevsky-fyodor-garnett-constance.txt,212001,"['the', 'and']",0.046660157263409135
51,The Smoky ValleyReproductions of a series of Lithographs of the Smoky Valley in Kansas,Sandzén Birger Powell Minna K,1871,"['Lithography', 'Smoky Hill River Valley (Colo. and Kan.) -- Pictorial works']",./books/the-smoky-valleyreproductions-of-a-series-of-lithographs-of-the-smoky-valley-in-kansas-sandzén-birger-powell-minna-.txt,4121,"['the', 'of']",0.24023295316670712
52,Ulysses,Joyce James ,1882-1941,"['City and town life -- Fiction', 'Psychological fiction', 'Domestic fiction', 'Married people -- Fiction', 'Male friendship -- Fiction', 'Dublin (Ireland) -- Fiction', 'Epic literature', 'Artists -- Fiction', 'Jewish men -- Fiction', 'Alienation (Social psychology) -- Fiction']",./books/ulysses-joyce-james.txt,275528,"['the', 'of']",0.10904880810661711
53,"The Count of Monte Cristo, Illustrated",Dumas Alexandre ,1802-1870,"['Historical fiction', 'Revenge -- Fiction', 'Adventure stories', 'Prisoners -- Fiction', 'France -- History -- 19th century -- Fiction', 'Pirates -- Fiction', 'Dantès, Edmond (Fictitious character) -- Fiction']",./books/the-count-of-monte-cristo-illustrated-dumas-alexandre.txt,471347,"['the', 'of']",0.03554918138865846
54,Siddhartha,Hesse Hermann ,1877-1962,"['Gautama Buddha -- Fiction', 'India -- Social life and customs -- Fiction', 'Spiritual life -- Fiction', 'Self-realization -- Fiction', 'Buddhism -- Fiction', 'Buddhist philosophy -- Fiction', 'Brahmans -- Fiction', 'India -- Religion -- Fiction']",./books/siddhartha-hesse-hermann.txt,42973,"['the', 'and']",0.0927326460800968
55,Arsene Lupin,Leblanc Maurice Jepson Edgar ,1864-1863,"['Burglars -- Fiction', 'Lupin, Arsène (Fictitious character) -- Fiction']",./books/arsene-lupin-leblanc-maurice-jepson-edgar.txt,75379,"['the', 'and']",0.07313708061927061
56,A Study in Scarlet,Doyle Arthur Conan ,1859-1930,"['Holmes, Sherlock (Fictitious character) -- Fiction', 'Private investigators -- England -- Fiction', 'Detective and mystery stories', 'England -- Fiction']",./books/a-study-in-scarlet-doyle-arthur-conan.txt,47812,"['the', 'and']",0.12749937254245797
